requirement_id,requirement,canonical_spec,schemas,implementation_task,golden_scenarios,critical,status,implementation_refs,test_refs
R-028,Structured API event and paid-state error contracts,spec/28_API_AND_EVENT_CONTRACTS.md,"schemas/cost_estimate.schema.json,schemas/event_envelope.schema.json,schemas/job.schema.json,schemas/paid_attempt.schema.json,schemas/spend_authorization.schema.json","TASK-032,TASK-033",GS10,true,NOT_STARTED,,
R-029,UI reconstructs from durable state not event stream alone,spec/30_UI_STATE_MACHINE.md,"schemas/event_envelope.schema.json,schemas/project_intent.schema.json,schemas/revision_request.schema.json","TASK-005,TASK-041",GS09,true,NOT_STARTED,,
R-030,Seedance compilation uses staged evidence-backed playbook,spec/31_SEEDANCE_PRODUCTION_PLAYBOOK.md,"schemas/artifact.schema.json,schemas/model_profile.schema.json,schemas/paid_attempt.schema.json,schemas/qa_report.schema.json,schemas/reference_binding.schema.json,schemas/universal_video_spec.schema.json","TASK-027,TASK-030",GS03,true,NOT_STARTED,,
R-031,Series active context is scoped,spec/32_LONG_FORM_SERIES_PLAYBOOK.md,"schemas/active_context_pack.schema.json,schemas/character.schema.json,schemas/episode_snapshot.schema.json,schemas/project_canon.schema.json","TASK-016,TASK-040",GS05,true,NOT_STARTED,,
R-032,Research evidence has confidence freshness and scope,spec/33_RESEARCH_INGESTION_KNOWLEDGE_PLAYBOOK.md,"schemas/creative_evidence_graph.schema.json,schemas/evidence_pack.schema.json,schemas/research_evidence.schema.json",TASK-012,"GS04,GS06,GS25",true,NOT_STARTED,,
R-033,Critical invariants have deterministic tests,spec/34_TEST_AND_EVAL_STRATEGY.md,schemas/common.schema.json,TASK-039,"GS01,GS05,GS08,GS09,GS10,GS15",true,NOT_STARTED,,
R-034,Backup restore and spend incident controls,spec/35_DEPLOYMENT_OPERATIONS.md,"schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json",TASK-042,GS10,true,NOT_STARTED,,
R-035,Provider adapters own transport not creative logic,spec/36_PROVIDER_INTEGRATION_PLAYBOOK.md,"schemas/paid_attempt.schema.json,schemas/provider_profile.schema.json",TASK-028,GS15,true,NOT_STARTED,,
R-036,Model routing depends on measured probe evidence,spec/37_MODEL_PROBE_PLAYBOOK.md,"schemas/cost_estimate.schema.json,schemas/model_profile.schema.json,schemas/provider_profile.schema.json,schemas/qa_report.schema.json",TASK-031,"GS03,GS15",true,NOT_STARTED,,
R-037,Character canonical identity separate from observed shot continuity,spec/32_LONG_FORM_SERIES_PLAYBOOK.md,"schemas/active_context_pack.schema.json,schemas/continuity_baton.schema.json,schemas/episode_snapshot.schema.json,schemas/project_canon.schema.json","TASK-016,TASK-022",GS05,true,NOT_STARTED,,
R-038,Middle-shot revision uses Continuity Sandwich,spec/17_SHOT_REVISION_VERSIONING.md,"schemas/artifact_dependency.schema.json,schemas/continuity_baton.schema.json,schemas/shot_version.schema.json",TASK-036,GS09,true,NOT_STARTED,,
R-039,External keyframe never silently falls back to paid internal generation,spec/13_SELECTIVE_KEYFRAME_EXTERNAL_WORKFLOW.md,"schemas/artifact.schema.json,schemas/keyframe_generation_pack.schema.json,schemas/paid_attempt.schema.json",TASK-024,GS08,true,NOT_STARTED,,
R-040,Production code has no fake media fallback,spec/00_SPEC_LOCK.md,"schemas/artifact.schema.json,schemas/final_master.schema.json,schemas/paid_attempt.schema.json,schemas/qa_report.schema.json,schemas/universal_video_spec.schema.json","TASK-030,TASK-043","GS01,GS03",true,NOT_STARTED,,
R-041,PRODUCT_DEMO is canonical content mode,spec/03_SCOPE_AND_CONTENT_INTELLIGENCE.md,schemas/scope_decision.schema.json,TASK-007,"GS01,GS12",true,NOT_STARTED,,
R-042,StyleDNA stores transferable traits and do-not-copy elements,spec/39_STYLE_DNA_AND_GRAMMAR_LAYERS.md,"schemas/creative_strategy.schema.json,schemas/style_dna.schema.json,schemas/user_taste_profile.schema.json",TASK-013,GS02,true,NOT_STARTED,,
R-043,Genre platform brand and taste grammars use explicit precedence,spec/39_STYLE_DNA_AND_GRAMMAR_LAYERS.md,"schemas/creative_strategy.schema.json,schemas/style_dna.schema.json,schemas/user_taste_profile.schema.json",TASK-013,"GS01,GS02",true,NOT_STARTED,,
R-044,Research ROI chooses skip cache search probe or block,spec/40_RESEARCH_ROI_AND_CREATIVE_EVIDENCE_GRAPH.md,"schemas/research_plan.schema.json,schemas/research_roi_decision.schema.json",TASK-011,GS25,true,NOT_STARTED,,
R-045,CreativeEvidenceGraph links mechanism choice outcome to evidence,spec/40_RESEARCH_ROI_AND_CREATIVE_EVIDENCE_GRAPH.md,"schemas/creative_evidence_graph.schema.json,schemas/evidence_pack.schema.json,schemas/research_evidence.schema.json",TASK-012,"GS01,GS02,GS25",true,NOT_STARTED,,
R-046,ActiveContextPack is versioned and scoped,spec/32_LONG_FORM_SERIES_PLAYBOOK.md,"schemas/active_context_pack.schema.json,schemas/episode_snapshot.schema.json,schemas/project_canon.schema.json",TASK-016,GS05,true,NOT_STARTED,,
R-047,Multimodal assets validate hash dedupe and fail explicitly,spec/41_MULTIMODAL_ASSET_INGESTION.md,"schemas/artifact.schema.json,schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json,schemas/reference_binding.schema.json",TASK-008,GS18,true,NOT_STARTED,,
R-048,Director depends on provider-neutral LLM port from first implementation,spec/46_EFFECTIVE_CAPABILITY_AND_PROVIDER_FALLBACK.md,"schemas/active_context_pack.schema.json,schemas/decision_record.schema.json,schemas/event_envelope.schema.json",TASK-006,GS15,true,NOT_STARTED,,
R-049,Smart Auto internal keyframe uses ImageProvider under cost policy,spec/13_SELECTIVE_KEYFRAME_EXTERNAL_WORKFLOW.md,"schemas/artifact.schema.json,schemas/keyframe_generation_pack.schema.json,schemas/paid_attempt.schema.json",TASK-024,GS16,true,NOT_STARTED,,
R-050,All five keyframe routes with source-pinned prompt-free asset reuse and compact NONE,spec/13_SELECTIVE_KEYFRAME_EXTERNAL_WORKFLOW.md,"schemas/artifact.schema.json,schemas/keyframe_generation_pack.schema.json,schemas/paid_attempt.schema.json",TASK-024,"GS08,GS14,GS16",true,NOT_STARTED,,
R-051,Controlled post voice has real VoiceProvider path,spec/09_DIALOGUE_VOICE_LOCALIZATION.md,"schemas/composition_timeline.schema.json,schemas/final_master.schema.json,schemas/qa_report.schema.json,schemas/voice_profile.schema.json",TASK-037,GS17,true,NOT_STARTED,,
R-052,CompositionTimeline is durable deterministic assembly source,spec/42_TIMELINE_ASSEMBLY_EXPORT_MASTER_QA.md,"schemas/composition_timeline.schema.json,schemas/final_master.schema.json,schemas/qa_report.schema.json,schemas/voice_profile.schema.json",TASK-037,GS19,true,NOT_STARTED,,
R-053,FinalMaster QA validates media integrity without paid regen,spec/42_TIMELINE_ASSEMBLY_EXPORT_MASTER_QA.md,"schemas/composition_timeline.schema.json,schemas/final_master.schema.json,schemas/qa_report.schema.json,schemas/voice_profile.schema.json",TASK-037,GS19,true,NOT_STARTED,,
R-054,Create or plan approval creates scoped SpendAuthorization,spec/44_SPEND_AUTHORIZATION_REPAIR_FALLBACK.md,"schemas/cost_estimate.schema.json,schemas/paid_attempt.schema.json,schemas/spend_authorization.schema.json",TASK-033,"GS01,GS22",true,NOT_STARTED,,
R-055,Default candidate count is one and multi-candidate is explicit,spec/44_SPEND_AUTHORIZATION_REPAIR_FALLBACK.md,"schemas/cost_estimate.schema.json,schemas/paid_attempt.schema.json,schemas/spend_authorization.schema.json",TASK-033,GS22,true,NOT_STARTED,,
R-056,Explicit nullable paid target links and certainty govern reconciliation,spec/44_SPEND_AUTHORIZATION_REPAIR_FALLBACK.md,"schemas/cost_estimate.schema.json,schemas/event_envelope.schema.json,schemas/job.schema.json,schemas/paid_attempt.schema.json,schemas/spend_authorization.schema.json","TASK-032,TASK-033","GS10,GS24",true,NOT_STARTED,,
R-057,Deterministic non-paid repair distinguished from paid generation,spec/44_SPEND_AUTHORIZATION_REPAIR_FALLBACK.md,"schemas/composition_timeline.schema.json,schemas/final_master.schema.json,schemas/qa_report.schema.json,schemas/voice_profile.schema.json","TASK-034,TASK-037",GS19,true,NOT_STARTED,,
R-058,EffectiveCapability intersects five layers and rejects contradictory status records,spec/46_EFFECTIVE_CAPABILITY_AND_PROVIDER_FALLBACK.md,"schemas/effective_capability.schema.json,schemas/model_profile.schema.json,schemas/provider_profile.schema.json",TASK-026,"GS15,GS20",true,NOT_STARTED,,
R-059,Provider callbacks are authenticated and idempotent,spec/23_SECURITY_PRIVACY_PROVENANCE.md,"schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json,schemas/event_envelope.schema.json,schemas/job.schema.json,schemas/paid_attempt.schema.json,schemas/provider_profile.schema.json","TASK-028,TASK-032,TASK-042",GS24,true,NOT_STARTED,,
R-060,Real-person identity and voice consent provenance supported,spec/43_CONTENT_SAFETY_RIGHTS_COMPLIANCE.md,"schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json",TASK-042,GS23,true,NOT_STARTED,,
R-061,Project and media deletion retention semantics exist,spec/43_CONTENT_SAFETY_RIGHTS_COMPLIANCE.md,"schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json",TASK-042,GS23,true,NOT_STARTED,,
R-062,Product factual claims use fact sources not appearance,spec/06_REFERENCE_INTELLIGENCE.md,"schemas/artifact.schema.json,schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json,schemas/creative_evidence_graph.schema.json,schemas/evidence_pack.schema.json,schemas/reference_binding.schema.json,schemas/research_evidence.schema.json","TASK-008,TASK-012",GS12,true,NOT_STARTED,,
R-063,Accepted version revert re-evaluates downstream currency,spec/44_SPEND_AUTHORIZATION_REPAIR_FALLBACK.md,"schemas/artifact.schema.json,schemas/artifact_dependency.schema.json,schemas/continuity_baton.schema.json,schemas/shot_version.schema.json","TASK-004,TASK-036",GS21,true,NOT_STARTED,,
R-064,Script fact brand music and SFX source roles are distinct,spec/06_REFERENCE_INTELLIGENCE.md,"schemas/artifact.schema.json,schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json,schemas/reference_binding.schema.json",TASK-008,"GS12,GS23",true,NOT_STARTED,,
R-065,Provider expansion uses profile compiler adapter probe without Director rewrite,spec/46_EFFECTIVE_CAPABILITY_AND_PROVIDER_FALLBACK.md,"schemas/cost_estimate.schema.json,schemas/effective_capability.schema.json,schemas/model_profile.schema.json,schemas/paid_attempt.schema.json,schemas/provider_profile.schema.json,schemas/qa_report.schema.json","TASK-026,TASK-028,TASK-031",GS15,true,NOT_STARTED,,
R-066,Charged produced output cannot silently fallback to new paid provider,spec/44_SPEND_AUTHORIZATION_REPAIR_FALLBACK.md,"schemas/cost_estimate.schema.json,schemas/paid_attempt.schema.json,schemas/spend_authorization.schema.json",TASK-033,GS24,true,NOT_STARTED,,
R-067,Safety rights blocks produce auditable user-actionable decision,spec/43_CONTENT_SAFETY_RIGHTS_COMPLIANCE.md,"schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json",TASK-042,GS23,true,NOT_STARTED,,
R-068,Global provider paid queue kill switch and incident controls,spec/35_DEPLOYMENT_OPERATIONS.md,"schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json",TASK-042,"GS10,GS24",true,NOT_STARTED,,
R-069,Durable Jobs and PaidAttemptGuard precede first billable Seedance call,tasks/00_IMPLEMENTATION_ORDER.md,"schemas/artifact.schema.json,schemas/cost_estimate.schema.json,schemas/event_envelope.schema.json,schemas/job.schema.json,schemas/paid_attempt.schema.json,schemas/qa_report.schema.json,schemas/spend_authorization.schema.json,schemas/universal_video_spec.schema.json","TASK-032,TASK-033,TASK-030",GS10,true,NOT_STARTED,,
R-070,Beta gate requires implementation and tests for critical traceability,spec/25_ACCEPTANCE_AND_DEFINITION_OF_DONE.md,schemas/final_master.schema.json,TASK-043,"GS01,GS25",true,NOT_STARTED,,
R-071,UserTasteProfile is versioned and not overfit from one signal,spec/22_OUTCOME_TASTE_RESEARCH_MEMORY.md,"schemas/decision_record.schema.json,schemas/research_evidence.schema.json,schemas/user_taste_profile.schema.json",TASK-038,"GS01,GS09",true,NOT_STARTED,,
R-072,Character knowledge includes wants and fears,spec/08_CHARACTER_RELATIONSHIP_KNOWLEDGE_STATE.md,"schemas/character.schema.json,schemas/relationship_edge.schema.json",TASK-015,GS05,true,NOT_STARTED,,
R-073,Research has explicit stop rule,spec/40_RESEARCH_ROI_AND_CREATIVE_EVIDENCE_GRAPH.md,"schemas/research_plan.schema.json,schemas/research_roi_decision.schema.json",TASK-011,GS25,true,NOT_STARTED,,
R-074,External generated assets preserve external provenance,spec/41_MULTIMODAL_ASSET_INGESTION.md,"schemas/artifact.schema.json,schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json,schemas/reference_binding.schema.json",TASK-008,"GS08,GS18",true,NOT_STARTED,,
R-075,Final export uses only CURRENT accepted source versions,spec/42_TIMELINE_ASSEMBLY_EXPORT_MASTER_QA.md,"schemas/composition_timeline.schema.json,schemas/final_master.schema.json,schemas/qa_report.schema.json,schemas/voice_profile.schema.json",TASK-037,"GS19,GS21",true,NOT_STARTED,,
R-076,Global UI supports Vietnamese and English independently from content language,spec/20_CHAT_FIRST_WORKSPACE_UX.md,"schemas/event_envelope.schema.json,schemas/project_intent.schema.json,schemas/revision_request.schema.json","TASK-005,TASK-041",GS11,true,NOT_STARTED,,
R-077,Runtime resumes from compacted durable structured state without hidden model memory,spec/29_RUNTIME_ORCHESTRATION.md,"schemas/active_context_pack.schema.json,schemas/decision_record.schema.json,schemas/event_envelope.schema.json",TASK-006,GS10,true,NOT_STARTED,,
R-078,Research creative critic and planning loops are bounded with explicit stop states,spec/29_RUNTIME_ORCHESTRATION.md,"schemas/active_context_pack.schema.json,schemas/creative_strategy.schema.json,schemas/decision_record.schema.json,schemas/event_envelope.schema.json,schemas/research_plan.schema.json,schemas/research_roi_decision.schema.json,schemas/style_dna.schema.json,schemas/user_taste_profile.schema.json","TASK-006,TASK-011,TASK-013",GS25,true,NOT_STARTED,,
R-079,Executable canonical governance with complete task and fixture coverage,spec/26_IMPLEMENTATION_GOVERNANCE.md,schemas/common.schema.json,"TASK-001,TASK-002,TASK-039",GS26,true,NOT_STARTED,,
R-080,Owned domain persistence and versioned source links,spec/27_DOMAIN_DATA_MODEL.md,"schemas/artifact.schema.json,schemas/character.schema.json,schemas/project_canon.schema.json,schemas/project_intent.schema.json",TASK-003,"GS26,GS27",true,NOT_STARTED,,
R-081,Selective versioned filmcraft retrieval and reusable mechanisms,spec/10_PERFORMANCE_CAMERA_AUDIO_EDITORIAL.md,"schemas/decision_record.schema.json,schemas/dialogue_scene.schema.json,schemas/universal_video_spec.schema.json","TASK-010,TASK-018","GS02,GS07,GS13",true,NOT_STARTED,,
R-082,Hierarchical causal scene to shot mapping,spec/05_CREATIVE_STORY_RETENTION.md,"schemas/creative_strategy.schema.json,schemas/generation_plan.schema.json,schemas/project_canon.schema.json",TASK-014,"GS03,GS05",true,NOT_STARTED,,
R-083,Reuse and mixed media with unknown accepted-second estimates,spec/11_PRODUCTION_STRATEGY_AND_SCENE_COMPLEXITY.md,"schemas/cost_estimate.schema.json,schemas/generation_plan.schema.json,schemas/model_profile.schema.json,schemas/production_strategy.schema.json,schemas/provider_profile.schema.json,schemas/qa_report.schema.json","TASK-019,TASK-020,TASK-031","GS04,GS14",true,NOT_STARTED,,
R-084,Atomic cap reservation candidate uniqueness and lease fencing,spec/44_SPEND_AUTHORIZATION_REPAIR_FALLBACK.md,"schemas/cost_estimate.schema.json,schemas/event_envelope.schema.json,schemas/job.schema.json,schemas/paid_attempt.schema.json,schemas/spend_authorization.schema.json","TASK-032,TASK-033","GS10,GS22,GS27",true,NOT_STARTED,,
R-085,Temporal knowledge and atomic episode acceptance,spec/07_PROJECT_CANON_AND_SERIES_MEMORY.md,"schemas/active_context_pack.schema.json,schemas/character.schema.json,schemas/episode_snapshot.schema.json,schemas/project_canon.schema.json,schemas/relationship_edge.schema.json","TASK-015,TASK-016,TASK-040","GS05,GS27",true,NOT_STARTED,,
R-086,Untrusted content and remote-import isolation,spec/23_SECURITY_PRIVACY_PROVENANCE.md,"schemas/active_context_pack.schema.json,schemas/artifact.schema.json,schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json,schemas/decision_record.schema.json,schemas/event_envelope.schema.json,schemas/reference_binding.schema.json","TASK-006,TASK-008,TASK-042","GS18,GS23",true,NOT_STARTED,,
R-087,Learning attribution correction disable and deletion,spec/22_OUTCOME_TASTE_RESEARCH_MEMORY.md,"schemas/asset_ingestion_record.schema.json,schemas/content_safety_decision.schema.json,schemas/decision_record.schema.json,schemas/research_evidence.schema.json,schemas/user_taste_profile.schema.json","TASK-038,TASK-042",GS28,true,NOT_STARTED,,
R-088,All paid modalities require guard before first submission,spec/18_COST_SPEND_ATTEMPT_POLICY.md,"schemas/artifact.schema.json,schemas/composition_timeline.schema.json,schemas/cost_estimate.schema.json,schemas/final_master.schema.json,schemas/keyframe_generation_pack.schema.json,schemas/paid_attempt.schema.json,schemas/provider_profile.schema.json,schemas/qa_report.schema.json,schemas/spend_authorization.schema.json,schemas/voice_profile.schema.json","TASK-024,TASK-028,TASK-033,TASK-037","GS16,GS17,GS27",true,NOT_STARTED,,
